Learinig rate, Hidden Neurons, Momentum, Max Errortraining set, test set, min Iteration,max Iteration,mean Iteration,std Iteration, min MSE,max MSE,mean MSE,std MSE,
0.3,10,0.7,0.01,70,30,10917.0,15275.0,13305.0,1803.6079581402014,0.00989920,0.00997220,0.00993019,0.00003080,
0.3,10,0.7,0.02,70,30,648.0,1198.0,867.0,238.09381904339025,0.01999763,0.01999952,0.01999850,7.8E-7,
0.3,10,0.7,0.03,70,30,88.0,101.0,96.0,5.715476066494082,0.02988824,0.02998279,0.02993182,0.00003895,
0.6,10,0.7,0.01,70,30,20000.0,20000.0,20000.0,0.0,0.01623543,0.01674015,0.01644098,0.00021643,
0.6,10,0.7,0.02,70,30,813.0,1243.0,1020.0,175.88158895499362,0.01999319,0.01999705,0.01999484,0.00000162,
0.6,10,0.7,0.03,70,30,120.0,125.0,122.0,2.160246899469287,0.02975783,0.02993810,0.02983084,0.00007747,
0.3,12,0.7,0.01,70,30,9851.0,11808.0,10915.0,808.1107597353224,0.00998426,0.01000000,0.00999464,0.00000734,
0.3,12,0.7,0.02,70,30,833.0,1195.0,1007.0,148.0866863248235,0.01999847,0.01999875,0.01999857,1.3E-7,
0.3,12,0.7,0.03,70,30,89.0,103.0,94.0,6.0553007081949835,0.02992386,0.02999778,0.02995891,0.00003030,
0.6,12,0.7,0.01,70,30,9531.0,11052.0,10247.0,624.1265897235912,0.00983865,0.00994915,0.00991138,0.00005144,
0.6,12,0.7,0.02,70,30,759.0,864.0,816.0,43.408908455907216,0.01996310,0.01999709,0.01998460,0.00001527,
0.6,12,0.7,0.03,70,30,121.0,128.0,125.0,3.1091263510296048,0.02963290,0.02988557,0.02979497,0.00011487,
0.3,14,0.7,0.01,70,30,13364.0,17284.0,14952.0,1684.4402631141302,0.00992640,0.00999981,0.00997347,0.00003337,
0.3,14,0.7,0.02,70,30,762.0,1275.0,1084.0,229.38613733179255,0.01999779,0.01999915,0.01999853,5.6E-7,
0.3,14,0.7,0.03,70,30,95.0,105.0,101.0,4.760952285695233,0.02992737,0.02994083,0.02993408,0.00000550,
0.6,14,0.7,0.01,70,30,9579.0,11502.0,10323.0,842.9972321030084,0.00692273,0.00996749,0.00892473,0.00141604,
0.6,14,0.7,0.02,70,30,793.0,1176.0,933.0,172.2914197902302,0.01998182,0.01999874,0.01999149,0.00000712,
0.6,14,0.7,0.03,70,30,131.0,138.0,134.0,2.886751345948129,0.02969682,0.02997026,0.02987254,0.00012451,
0.3,16,0.7,0.01,70,30,10016.0,19867.0,14514.0,4066.7730450567315,0.00984857,0.00999465,0.00994447,0.00006783,
0.3,16,0.7,0.02,70,30,740.0,1035.0,872.0,122.32879192297018,0.01999033,0.01999965,0.01999545,0.00000386,
0.3,16,0.7,0.03,70,30,105.0,114.0,110.0,3.872983346207417,0.02990883,0.02997408,0.02993578,0.00002782,
0.6,16,0.7,0.01,70,30,7458.0,14106.0,9881.0,2997.863350232406,0.00442060,0.00997487,0.00801747,0.00254668,
0.6,16,0.7,0.02,70,30,761.0,1039.0,928.0,120.51832502431597,0.01999172,0.01999864,0.01999583,0.00000297,
0.6,16,0.7,0.03,70,30,136.0,149.0,142.0,5.354126134736337,0.02969227,0.02978555,0.02974351,0.00003863,
0.3,18,0.7,0.01,70,30,10175.0,11324.0,10628.0,499.5578044631072,0.00997314,0.00999985,0.00999088,0.00001254,
0.3,18,0.7,0.02,70,30,587.0,940.0,754.0,144.6939298427316,0.01999472,0.01999669,0.01999597,8.8E-7,
0.3,18,0.7,0.03,70,30,113.0,118.0,115.0,2.0816659994661326,0.02995788,0.02996514,0.02996229,0.00000316,
0.6,18,0.7,0.01,70,30,8208.0,20000.0,14531.0,4851.790253779183,0.00941446,0.02393633,0.01440727,0.00674064,
0.6,18,0.7,0.02,70,30,714.0,3225.0,2151.0,1056.8729031124476,0.01999156,0.01999996,0.01999712,0.00000393,
0.6,18,0.7,0.03,70,30,155.0,164.0,160.0,3.872983346207417,0.02957668,0.02980283,0.02972328,0.00010379,
0.3,20,0.7,0.01,70,30,12885.0,16324.0,14417.0,1428.787131334359,0.00989987,0.00999797,0.00996142,0.00004378,
0.3,20,0.7,0.02,70,30,616.0,934.0,778.0,129.9089424686897,0.01999770,0.01999952,0.01999834,8.4E-7,
0.3,20,0.7,0.03,70,30,110.0,117.0,114.0,3.366501646120693,0.02990252,0.02998720,0.02994087,0.00003503,
0.6,20,0.7,0.01,70,30,7863.0,20000.0,14014.0,4956.305277119237,0.00958153,0.02416188,0.01451743,0.00682029,
0.6,20,0.7,0.02,70,30,805.0,952.0,869.0,61.30252849597641,0.01999109,0.01999965,0.01999492,0.00000355,
0.6,20,0.7,0.03,70,30,166.0,172.0,169.0,2.70801280154532,0.02962998,0.02982508,0.02971207,0.00008259,
